French Polynesia,0.84,0.55,0.79,0.89,0.54,0.56,0.57,0.00
Gabon,6.17,6.61,6.55,6.06,6.49,6.54,6.59,0.02
Georgia,34.74,5.37,4.98,6.23,10.14,11.00,10.89,0.03
Germany,1018.06,871.07,837.33,816.40,786.44,787.95,752.65,1.99
Ghana,3.19,6.12,7.33,11.63,17.05,19.52,20.09,0.05
Gibraltar,0.14,0.34,0.41,0.47,0.57,0.70,0.68,0.00
Greece,79.20,97.08,104.85,90.00,70.79,73.14,72.40,0.19
Greenland,0.00,0.00,0.63,0.67,0.52,0.54,0.53,0.00
Grenada,0.07,0.07,0.13,0.14,0.28,0.29,0.29,0.00
Guadeloupe,0.87,1.00,1.03,1.19,2.25,2.33,2.35,0.01
Guatemala,3.87,9.59,11.70,11.68,16.88,18.19,20.51,0.05
Guinea,1.07,1.09,1.12,1.39,2.52,2.90,3.00,0.01
Guinea-Bissau,0.20,0.26,0.29,0.40,0.38,0.43,0.44,0.00
Guyana,0.34,0.80,0.73,0.79,1.67,1.86,1.92,0.01
Haiti,1.15,1.61,2.23,2.36,3.45,3.62,3.65,0.01
Honduras,2.37,5.06,7.85,8.06,9.97,10.05,10.35,0.03
Hong Kong,34.18,41.14,41.92,42.69,44.63,45.39,45.31,0.12
Hungary,72.00,58.37,59.96,51.94,47.24,51.60,52.14,0.14
Iceland,2.35,2.87,3.17,3.68,3.83,4.07,4.09,0.01
India,594.85,986.62,1210.76,1750.56,2286.82,2445.88,2621.92,6.92
Indonesia,162.75,294.95,360.19,418.28,489.34,531.97,557.53,1.47
International Aviation,258.94,355.82,422.78,457.66,529.69,559.25,564.61,1.49
International Shipping,371.80,498.58,572.17,663.23,657.32,683.81,697.49,1.84
Iran,204.51,351.73,468.25,570.04,623.25,694.47,727.81,1.92
Iraq,69.26,86.52,89.46,126.06,160.50,172.63,188.10,0.50
Ireland,32.85,44.23,47.28,41.27,37.84,37.76,37.21,0.10
Israel and Palestine, State of,35.29,59.37,62.15,72.19,66.89,67.36,67.06,0.18
Italy, San Marino and the Holy See,430.58,459.85,497.69,426.78,354.38,355.72,344.81,0.91
Jamaica,7.53,10.22,10.63,7.45,7.40,7.89,7.95,0.02
Japan,1149.37,1241.54,1276.87,1197.42,1227.73,1219.69,1198.55,3.16
Jordan,10.21,15.49,19.78,20.61,25.82,26.16,26.04,0.07
Kazakhstan,253.45,126.34,172.77,236.65,258.83,273.62,309.25,0.82
Kenya,6.47,8.61,8.85,13.18,16.96,20.50,20.96,0.06
Kiribati,0.02,0.02,0.03,0.05,0.03,0.03,0.03,0.00
Kuwait,32.61,54.85,75.38,86.36,95.52,95.09,100.34,0.26
Kyrgyzstan,23.70,4.86,5.48,6.56,10.68,9.53,10.13,0.03
Laos,0.21,0.65,1.05,1.72,2.50,3.45,3.61,0.01
Latvia,20.14,7.56,8.24,8.91,7.70,7.82,7.82,0.02
Lebanon,5.98,15.24,16.51,20.56,25.13,25.43,25.59,0.07
Lesotho,0.10,0.16,0.17,0.53,0.69,0.71,0.72,0.00
Liberia,0.42,0.33,0.47,0.57,1.06,1.20,1.24,0.00
Libya,37.14,49.92,56.93,61.61,51.78,58.30,56.48,0.15
